Transfer_Date,Transaction_ID,Counterparty_Bank,Transfer_Amount,Transfer_Currency,Transfer_Type,Transfer_Purpose
2023-11-16 23:16:44.531236,TXN_140,Bank A,18015.71,EUR,Outbound,Settlement
2024-03-01 23:16:44.531236,TXN_254,Bank C,12980.26,USD,Inbound,Settlement
2023-12-06 23:16:44.531236,TXN_478,Bank C,25943.19,EUR,Outbound,Settlement
2024-07-28 23:16:44.531236,TXN_166,Bank B,15313.71,GBP,Outbound,Liquidity Management
2023-12-30 23:16:44.531236,TXN_987,Bank C,46199.55,EUR,Inbound,Liquidity Management
2024-07-03 23:16:44.531236,TXN_315,Bank B,47557.85,GBP,Outbound,Settlement
2024-01-23 23:16:44.531236,TXN_557,Bank C,39534.48,GBP,Inbound,Liquidity Management
2023-11-09 23:16:44.531236,TXN_971,Bank B,30987.29,GBP,Inbound,Liquidity Management
2024-06-12 23:16:44.531236,TXN_992,Bank C,31951.27,USD,Outbound,Settlement
2024-02-27 23:16:44.531236,TXN_129,Bank C,14424.46,GBP,Inbound,Liquidity Management
2024-09-05 23:16:44.531236,TXN_845,Bank C,28872.0,GBP,Inbound,Liquidity Management
2024-06-30 23:16:44.531236,TXN_906,Bank B,20963.13,USD,Inbound,Settlement
2024-05-17 23:16:44.531236,TXN_871,Bank C,25439.94,EUR,Inbound,Settlement
2023-10-10 23:16:44.531236,TXN_946,Bank A,26305.04,EUR,Inbound,Liquidity Management
2024-03-27 23:16:44.531236,TXN_659,Bank C,29105.83,GBP,Inbound,Settlement
2024-03-21 23:16:44.531236,TXN_323,Bank A,20426.15,EUR,Outbound,Settlement
2024-04-13 23:16:44.531236,TXN_878,Bank C,40442.47,EUR,Outbound,Settlement
2023-12-02 23:16:44.531236,TXN_882,Bank A,47399.54,EUR,Inbound,Settlement
2024-07-14 23:16:44.531236,TXN_933,Bank C,21746.88,GBP,Inbound,Liquidity Management
2024-09-10 23:16:44.531236,TXN_476,Bank C,35751.19,GBP,Outbound,Liquidity Management
2024-07-03 23:16:44.531236,TXN_781,Bank B,24037.12,GBP,Outbound,Liquidity Management
2024-08-16 23:16:44.531236,TXN_212,Bank B,34301.8,USD,Inbound,Liquidity Management
2023-10-27 23:16:44.531236,TXN_799,Bank B,15207.6,USD,Inbound,Liquidity Management
2024-03-03 23:16:44.531236,TXN_849,Bank C,45689.53,EUR,Outbound,Settlement
2023-10-18 23:16:44.531236,TXN_155,Bank C,16675.64,USD,Inbound,Settlement
2023-12-28 23:16:44.531236,TXN_993,Bank B,23088.97,USD,Inbound,Liquidity Management
2024-09-15 23:16:44.531236,TXN_803,Bank A,32785.71,GBP,Outbound,Liquidity Management
2024-01-10 23:16:44.531236,TXN_279,Bank C,19161.03,USD,Inbound,Settlement
2024-02-16 23:16:44.531236,TXN_306,Bank B,43927.48,GBP,Outbound,Settlement
2024-06-20 23:16:44.531236,TXN_136,Bank B,26810.16,USD,Outbound,Liquidity Management
2024-04-30 23:16:44.531236,TXN_295,Bank A,21621.24,GBP,Inbound,Liquidity Management
2024-06-08 23:16:44.531236,TXN_368,Bank A,48349.63,GBP,Outbound,Settlement
2024-03-02 23:16:44.531236,TXN_398,Bank A,17687.09,EUR,Outbound,Settlement
2024-02-19 23:16:44.531236,TXN_180,Bank C,32006.13,GBP,Inbound,Liquidity Management
2024-03-14 23:16:44.531236,TXN_983,Bank B,26325.7,EUR,Outbound,Settlement
2023-11-20 23:16:44.531236,TXN_644,Bank C,29889.22,EUR,Inbound,Liquidity Management
2024-04-17 23:16:44.531236,TXN_438,Bank B,30221.48,USD,Outbound,Settlement
2023-11-24 23:16:44.531236,TXN_481,Bank A,45720.0,USD,Inbound,Settlement
2024-01-18 23:16:44.531236,TXN_834,Bank C,47968.02,EUR,Outbound,Liquidity Management
2024-07-18 23:16:44.531236,TXN_248,Bank B,35783.38,GBP,Outbound,Liquidity Management
2024-09-02 23:16:44.531236,TXN_667,Bank B,10693.6,USD,Outbound,Settlement
2024-03-30 23:16:44.531236,TXN_598,Bank C,19428.93,GBP,Inbound,Settlement
2023-10-30 23:16:44.531236,TXN_712,Bank C,16115.35,USD,Inbound,Liquidity Management
2024-05-09 23:16:44.531236,TXN_378,Bank C,25862.44,GBP,Inbound,Liquidity Management
2024-06-14 23:16:44.531236,TXN_370,Bank B,45069.54,EUR,Outbound,Settlement
2024-07-19 23:16:44.531236,TXN_239,Bank B,46842.42,USD,Outbound,Settlement
2023-12-02 23:16:44.531236,TXN_968,Bank B,17700.26,GBP,Outbound,Liquidity Management
2024-09-14 23:16:44.531236,TXN_23,Bank B,49708.39,USD,Outbound,Liquidity Management
2023-11-06 23:16:44.531236,TXN_193,Bank A,43675.71,GBP,Inbound,Settlement
2024-09-22 23:16:44.531236,TXN_897,Bank A,25679.78,GBP,Outbound,Settlement
2024-03-16 23:16:44.531236,TXN_566,Bank C,32732.14,USD,Inbound,Liquidity Management
2023-12-20 23:16:44.531236,TXN_884,Bank A,27569.22,USD,Outbound,Liquidity Management
2023-11-01 23:16:44.531236,TXN_262,Bank B,34729.93,USD,Outbound,Settlement
2024-01-09 23:16:44.531236,TXN_770,Bank C,40825.2,EUR,Inbound,Liquidity Management
2024-06-19 23:16:44.531236,TXN_698,Bank C,46793.34,EUR,Outbound,Liquidity Management
2023-11-02 23:16:44.531236,TXN_235,Bank B,46194.5,EUR,Inbound,Liquidity Management
2024-06-26 23:16:44.531236,TXN_594,Bank A,18575.47,EUR,Outbound,Liquidity Management
2024-02-02 23:16:44.531236,TXN_59,Bank C,21011.3,EUR,Inbound,Settlement
2023-11-08 23:16:44.531236,TXN_578,Bank C,18334.64,USD,Inbound,Liquidity Management
2024-04-04 23:16:44.531236,TXN_359,Bank B,27475.86,EUR,Outbound,Liquidity Management
2024-04-26 23:16:44.531236,TXN_33,Bank A,21330.23,GBP,Outbound,Liquidity Management
2024-08-12 23:16:44.531236,TXN_915,Bank B,23231.75,USD,Outbound,Settlement
2024-02-26 23:16:44.531236,TXN_997,Bank C,37475.42,EUR,Inbound,Settlement
2023-12-12 23:16:44.531236,TXN_488,Bank A,42357.04,EUR,Outbound,Liquidity Management
2024-09-03 23:16:44.531236,TXN_349,Bank C,34048.5,USD,Inbound,Liquidity Management
2024-07-22 23:16:44.531236,TXN_175,Bank C,48305.86,EUR,Outbound,Settlement
2024-03-14 23:16:44.531236,TXN_71,Bank B,10705.22,GBP,Outbound,Settlement
2023-11-27 23:16:44.531236,TXN_169,Bank B,14799.27,EUR,Outbound,Liquidity Management
2024-09-29 23:16:44.531236,TXN_123,Bank A,43491.26,EUR,Outbound,Settlement
2024-09-12 23:16:44.531236,TXN_794,Bank C,16592.01,EUR,Inbound,Liquidity Management
2024-06-26 23:16:44.531236,TXN_153,Bank C,36829.24,GBP,Outbound,Settlement
2024-02-19 23:16:44.531236,TXN_590,Bank C,40639.52,GBP,Outbound,Liquidity Management
2023-11-28 23:16:44.531236,TXN_363,Bank A,46951.0,USD,Outbound,Liquidity Management
2024-09-29 23:16:44.531236,TXN_808,Bank C,27737.28,GBP,Outbound,Liquidity Management
2023-10-12 23:16:44.531236,TXN_409,Bank A,11707.53,USD,Inbound,Settlement
2024-07-14 23:16:44.531236,TXN_71,Bank C,36404.23,EUR,Inbound,Settlement
2024-06-30 23:16:44.531236,TXN_102,Bank B,38213.46,USD,Inbound,Settlement
2024-06-26 23:16:44.531236,TXN_541,Bank B,17253.85,GBP,Outbound,Liquidity Management
2024-04-18 23:16:44.531236,TXN_912,Bank A,33657.21,USD,Outbound,Liquidity Management
2023-11-17 23:16:44.531236,TXN_125,Bank A,35012.42,GBP,Inbound,Liquidity Management
2023-12-04 23:16:44.531236,TXN_972,Bank B,40038.56,USD,Outbound,Liquidity Management
2024-08-29 23:16:44.531236,TXN_968,Bank C,16983.36,USD,Outbound,Settlement
2024-07-07 23:16:44.531236,TXN_119,Bank A,40101.7,USD,Inbound,Liquidity Management
2024-01-08 23:16:44.531236,TXN_51,Bank B,46729.57,EUR,Outbound,Liquidity Management
2024-02-14 23:16:44.531236,TXN_345,Bank B,38367.47,USD,Inbound,Settlement
2024-09-21 23:16:44.531236,TXN_635,Bank C,13729.05,GBP,Inbound,Settlement
2024-04-24 23:16:44.531236,TXN_744,Bank C,19593.25,EUR,Outbound,Settlement
2024-08-19 23:16:44.531236,TXN_982,Bank B,34623.49,GBP,Inbound,Settlement
2024-07-10 23:16:44.531236,TXN_365,Bank A,45840.4,USD,Outbound,Settlement
2024-10-01 23:16:44.531236,TXN_495,Bank C,37710.86,EUR,Inbound,Settlement
2024-09-26 23:16:44.531236,TXN_548,Bank C,21380.08,GBP,Inbound,Liquidity Management
2024-01-14 23:16:44.531236,TXN_360,Bank A,48964.9,USD,Outbound,Settlement
2024-05-16 23:16:44.531236,TXN_912,Bank B,19248.89,EUR,Outbound,Settlement
2023-10-23 23:16:44.531236,TXN_570,Bank C,46102.24,EUR,Inbound,Settlement
2024-01-20 23:16:44.531236,TXN_196,Bank B,12998.81,EUR,Inbound,Settlement
2023-10-18 23:16:44.531236,TXN_954,Bank A,21238.62,GBP,Inbound,Settlement
2024-05-20 23:16:44.531236,TXN_691,Bank C,42556.46,USD,Inbound,Settlement
2024-07-28 23:16:44.531236,TXN_916,Bank B,47378.18,USD,Inbound,Liquidity Management
2024-02-12 23:16:44.531236,TXN_138,Bank A,25746.61,EUR,Outbound,Settlement
2024-09-24 23:16:44.531236,TXN_142,Bank A,12881.94,GBP,Inbound,Settlement
2023-11-21 23:16:44.531236,TXN_372,Bank B,33017.93,USD,Inbound,Settlement
2023-12-18 23:16:44.531236,TXN_568,Bank C,38920.18,EUR,Outbound,Liquidity Management
2024-01-07 23:16:44.531236,TXN_658,Bank C,42275.74,EUR,Outbound,Settlement
2023-11-11 23:16:44.531236,TXN_690,Bank C,21272.8,USD,Inbound,Settlement
2024-07-08 23:16:44.531236,TXN_990,Bank A,48637.8,EUR,Outbound,Liquidity Management
2023-11-04 23:16:44.531236,TXN_497,Bank A,18352.55,GBP,Outbound,Settlement
2024-02-23 23:16:44.531236,TXN_658,Bank C,14387.35,GBP,Inbound,Settlement
2024-04-03 23:16:44.531236,TXN_507,Bank B,42743.28,USD,Outbound,Settlement
2024-04-27 23:16:44.531236,TXN_4,Bank B,12781.97,USD,Inbound,Liquidity Management
2024-03-03 23:16:44.531236,TXN_584,Bank B,49663.49,USD,Inbound,Settlement
2024-03-17 23:16:44.531236,TXN_117,Bank A,47460.07,EUR,Inbound,Liquidity Management
2023-12-26 23:16:44.531236,TXN_957,Bank A,45683.64,EUR,Inbound,Liquidity Management
2024-09-03 23:16:44.531236,TXN_472,Bank B,24180.55,EUR,Outbound,Settlement
2024-03-25 23:16:44.531236,TXN_101,Bank A,47486.95,USD,Outbound,Settlement
2024-08-10 23:16:44.531236,TXN_459,Bank A,17343.64,EUR,Outbound,Settlement
2023-11-11 23:16:44.531236,TXN_979,Bank A,43212.57,GBP,Inbound,Liquidity Management
2024-01-30 23:16:44.531236,TXN_609,Bank B,24406.21,EUR,Outbound,Settlement
2024-02-10 23:16:44.531236,TXN_312,Bank A,47088.32,EUR,Outbound,Liquidity Management
2024-06-20 23:16:44.531236,TXN_311,Bank B,30537.59,GBP,Inbound,Settlement
2023-11-26 23:16:44.531236,TXN_536,Bank B,29133.29,EUR,Inbound,Settlement
2024-05-12 23:16:44.531236,TXN_87,Bank A,10951.98,EUR,Inbound,Liquidity Management
2024-07-13 23:16:44.531236,TXN_71,Bank A,13555.45,EUR,Outbound,Liquidity Management
2024-08-30 23:16:44.531236,TXN_653,Bank C,25567.27,GBP,Inbound,Settlement
2024-01-19 23:16:44.531236,TXN_397,Bank B,36734.97,GBP,Inbound,Settlement
2024-02-04 23:16:44.531236,TXN_545,Bank B,18071.93,EUR,Outbound,Liquidity Management
2024-02-09 23:16:44.531236,TXN_842,Bank A,17037.09,USD,Inbound,Settlement
2024-02-04 23:16:44.531236,TXN_781,Bank A,23766.14,EUR,Outbound,Settlement
2023-11-27 23:16:44.531236,TXN_646,Bank A,28128.77,GBP,Inbound,Settlement
2024-05-21 23:16:44.531236,TXN_691,Bank B,18052.5,GBP,Inbound,Liquidity Management
2024-04-17 23:16:44.531236,TXN_456,Bank C,49090.95,GBP,Outbound,Settlement
2024-05-26 23:16:44.531236,TXN_371,Bank A,16574.39,GBP,Inbound,Liquidity Management
2024-04-21 23:16:44.531236,TXN_171,Bank C,22745.76,USD,Outbound,Settlement
2024-05-25 23:16:44.531236,TXN_200,Bank B,36461.62,GBP,Outbound,Settlement
2023-11-17 23:16:44.531236,TXN_337,Bank B,13999.52,EUR,Outbound,Settlement
2024-04-07 23:16:44.531236,TXN_831,Bank C,21029.78,USD,Inbound,Settlement
2024-06-13 23:16:44.531236,TXN_480,Bank A,27146.45,EUR,Inbound,Settlement
2024-05-05 23:16:44.531236,TXN_802,Bank A,33360.8,EUR,Inbound,Liquidity Management
2024-05-23 23:16:44.531236,TXN_211,Bank C,44360.99,GBP,Inbound,Settlement
2024-03-31 23:16:44.531236,TXN_428,Bank C,35455.47,EUR,Inbound,Settlement
2024-05-21 23:16:44.531236,TXN_402,Bank B,39491.72,GBP,Inbound,Liquidity Management
2024-09-07 23:16:44.531236,TXN_724,Bank B,22048.93,EUR,Inbound,Liquidity Management
2024-07-17 23:16:44.531236,TXN_791,Bank B,35466.83,GBP,Inbound,Liquidity Management
2024-09-27 23:16:44.531236,TXN_358,Bank B,41010.23,EUR,Inbound,Liquidity Management
2023-11-07 23:16:44.531236,TXN_360,Bank C,16393.87,GBP,Inbound,Liquidity Management
2024-08-20 23:16:44.531236,TXN_143,Bank A,28409.81,USD,Outbound,Liquidity Management
2024-07-02 23:16:44.531236,TXN_947,Bank C,36295.16,GBP,Inbound,Liquidity Management
2024-05-18 23:16:44.531236,TXN_969,Bank C,25862.32,GBP,Outbound,Liquidity Management
2023-11-02 23:16:44.531236,TXN_745,Bank C,28467.44,GBP,Outbound,Settlement
2024-02-28 23:16:44.531236,TXN_46,Bank C,40552.28,EUR,Outbound,Liquidity Management
2024-04-07 23:16:44.531236,TXN_398,Bank A,33546.46,GBP,Inbound,Settlement
2024-07-18 23:16:44.531236,TXN_673,Bank C,38071.2,GBP,Inbound,Liquidity Management
2023-10-13 23:16:44.531236,TXN_758,Bank A,28378.48,EUR,Inbound,Settlement
2024-06-18 23:16:44.531236,TXN_815,Bank B,16280.36,USD,Outbound,Settlement
2024-01-12 23:16:44.531236,TXN_95,Bank A,41398.85,USD,Outbound,Liquidity Management
2024-09-21 23:16:44.531236,TXN_483,Bank A,36298.56,GBP,Outbound,Settlement
2024-06-18 23:16:44.531236,TXN_976,Bank A,23538.67,EUR,Outbound,Liquidity Management
2024-09-03 23:16:44.531236,TXN_443,Bank C,34636.59,GBP,Inbound,Settlement
2024-07-24 23:16:44.531236,TXN_834,Bank C,15455.68,GBP,Outbound,Settlement
2024-10-04 23:16:44.531236,TXN_925,Bank C,18530.94,GBP,Inbound,Settlement
2024-01-05 23:16:44.531236,TXN_785,Bank A,27029.08,USD,Outbound,Liquidity Management
2023-11-19 23:16:44.531236,TXN_718,Bank A,24031.63,GBP,Outbound,Settlement
2023-12-20 23:16:44.531236,TXN_612,Bank B,44016.89,GBP,Outbound,Settlement
2023-10-17 23:16:44.531236,TXN_532,Bank C,30418.58,EUR,Outbound,Settlement
2024-02-24 23:16:44.531236,TXN_490,Bank B,45853.59,EUR,Inbound,Liquidity Management
2024-01-28 23:16:44.531236,TXN_230,Bank C,23688.75,GBP,Outbound,Liquidity Management
2024-01-06 23:16:44.531236,TXN_503,Bank B,49207.16,EUR,Inbound,Settlement
2024-09-26 23:16:44.531236,TXN_441,Bank B,23713.4,EUR,Outbound,Liquidity Management
2024-03-23 23:16:44.531236,TXN_34,Bank A,18940.91,EUR,Outbound,Liquidity Management
2024-06-02 23:16:44.531236,TXN_969,Bank A,48198.38,EUR,Outbound,Liquidity Management
2024-01-19 23:16:44.531236,TXN_831,Bank A,24672.55,GBP,Outbound,Liquidity Management
2024-08-13 23:16:44.531236,TXN_280,Bank C,18459.33,EUR,Outbound,Liquidity Management
2024-04-25 23:16:44.531236,TXN_54,Bank C,33406.35,USD,Inbound,Settlement
2024-07-25 23:16:44.531236,TXN_252,Bank B,41791.76,GBP,Inbound,Liquidity Management
2024-08-08 23:16:44.531236,TXN_539,Bank A,12276.33,EUR,Outbound,Liquidity Management
2024-09-08 23:16:44.531236,TXN_414,Bank C,15197.66,GBP,Inbound,Settlement
2024-09-25 23:16:44.531236,TXN_967,Bank C,12236.32,EUR,Inbound,Liquidity Management
2024-09-12 23:16:44.531236,TXN_820,Bank A,40106.15,USD,Inbound,Liquidity Management
2024-08-12 23:16:44.531236,TXN_582,Bank C,48262.89,USD,Inbound,Liquidity Management
2024-03-26 23:16:44.531236,TXN_256,Bank A,49195.27,USD,Inbound,Liquidity Management
2024-08-23 23:16:44.531236,TXN_423,Bank C,45114.94,EUR,Outbound,Liquidity Management
2024-04-28 23:16:44.531236,TXN_979,Bank A,45770.47,GBP,Inbound,Liquidity Management
2024-04-12 23:16:44.531236,TXN_86,Bank B,37677.34,GBP,Outbound,Settlement
2023-12-02 23:16:44.531236,TXN_894,Bank C,44471.38,USD,Outbound,Liquidity Management
2024-02-15 23:16:44.531236,TXN_958,Bank C,40488.63,USD,Inbound,Settlement
2024-04-12 23:16:44.531236,TXN_640,Bank B,19393.5,USD,Outbound,Liquidity Management
2024-09-26 23:16:44.531236,TXN_379,Bank A,49798.53,USD,Outbound,Liquidity Management
2023-12-19 23:16:44.531236,TXN_387,Bank C,44439.18,GBP,Inbound,Liquidity Management
2024-09-20 23:16:44.531236,TXN_515,Bank C,14836.31,USD,Outbound,Settlement
2024-02-20 23:16:44.531236,TXN_325,Bank B,33527.95,EUR,Inbound,Liquidity Management
2024-08-14 23:16:44.531236,TXN_901,Bank B,48777.04,EUR,Inbound,Settlement
2024-07-25 23:16:44.531236,TXN_676,Bank C,12800.5,USD,Outbound,Liquidity Management
2023-11-28 23:16:44.531236,TXN_25,Bank B,42822.03,USD,Inbound,Settlement
2024-01-12 23:16:44.531236,TXN_253,Bank C,15241.67,USD,Inbound,Liquidity Management
2024-05-08 23:16:44.531236,TXN_626,Bank B,30454.81,USD,Inbound,Settlement
2023-11-13 23:16:44.531236,TXN_749,Bank A,12018.03,GBP,Outbound,Liquidity Management
2024-07-06 23:16:44.531236,TXN_846,Bank C,14222.51,EUR,Outbound,Liquidity Management
2023-11-04 23:16:44.531236,TXN_84,Bank B,37700.28,EUR,Outbound,Settlement
2024-01-04 23:16:44.531236,TXN_664,Bank A,21837.94,EUR,Inbound,Liquidity Management
2024-05-18 23:16:44.531236,TXN_809,Bank B,46948.25,GBP,Outbound,Liquidity Management
2024-02-13 23:16:44.531236,TXN_129,Bank C,28618.31,USD,Inbound,Settlement
2024-05-23 23:16:44.531236,TXN_434,Bank A,34827.32,EUR,Outbound,Liquidity Management
2023-11-04 23:16:44.531236,TXN_387,Bank A,40028.52,EUR,Inbound,Settlement
2023-10-20 23:16:44.531236,TXN_391,Bank B,34649.19,USD,Inbound,Liquidity Management
2024-10-03 23:16:44.531236,TXN_919,Bank A,15292.91,GBP,Inbound,Settlement
2024-02-23 23:16:44.531236,TXN_924,Bank B,46211.72,GBP,Outbound,Settlement
2024-01-23 23:16:44.531236,TXN_356,Bank B,32845.21,EUR,Inbound,Settlement
2024-04-27 23:16:44.531236,TXN_344,Bank A,34811.31,EUR,Inbound,Liquidity Management
2023-10-23 23:16:44.531236,TXN_765,Bank A,18925.24,GBP,Outbound,Settlement
2024-09-22 23:16:44.531236,TXN_606,Bank C,39379.85,GBP,Outbound,Settlement
2024-08-02 23:16:44.531236,TXN_323,Bank B,29846.83,USD,Inbound,Settlement
2024-05-09 23:16:44.531236,TXN_962,Bank C,25919.37,GBP,Inbound,Liquidity Management
2024-07-02 23:16:44.531236,TXN_253,Bank B,40142.4,GBP,Inbound,Settlement
2023-12-31 23:16:44.531236,TXN_267,Bank A,10357.24,USD,Outbound,Settlement
2023-11-30 23:16:44.531236,TXN_384,Bank A,13741.79,EUR,Outbound,Liquidity Management
2024-06-30 23:16:44.531236,TXN_303,Bank B,47919.18,USD,Outbound,Settlement
2024-07-30 23:16:44.531236,TXN_352,Bank C,45256.68,USD,Inbound,Liquidity Management
2024-09-22 23:16:44.531236,TXN_959,Bank A,21014.48,EUR,Inbound,Settlement
2024-08-08 23:16:44.531236,TXN_764,Bank A,20434.13,USD,Outbound,Settlement
2024-03-08 23:16:44.531236,TXN_778,Bank A,20557.49,GBP,Outbound,Liquidity Management
2024-03-13 23:16:44.531236,TXN_155,Bank B,28882.95,EUR,Outbound,Liquidity Management
2024-08-14 23:16:44.531236,TXN_44,Bank B,49327.16,USD,Inbound,Liquidity Management
2024-03-17 23:16:44.531236,TXN_719,Bank C,16838.16,USD,Outbound,Settlement
2024-02-08 23:16:44.531236,TXN_521,Bank C,20502.3,EUR,Outbound,Liquidity Management
2024-10-02 23:16:44.531236,TXN_930,Bank C,20713.28,USD,Inbound,Liquidity Management
2023-12-07 23:16:44.531236,TXN_476,Bank C,14509.78,GBP,Outbound,Liquidity Management
2024-08-03 23:16:44.531236,TXN_883,Bank B,26348.46,GBP,Outbound,Settlement
2024-05-08 23:16:44.531236,TXN_784,Bank B,23062.98,GBP,Outbound,Settlement
2024-09-08 23:16:44.531236,TXN_608,Bank A,40122.07,USD,Inbound,Liquidity Management
2024-07-26 23:16:44.531236,TXN_705,Bank A,33338.32,EUR,Inbound,Liquidity Management
2023-10-23 23:16:44.531236,TXN_807,Bank C,18244.07,USD,Outbound,Liquidity Management
2023-10-17 23:16:44.531236,TXN_571,Bank B,11665.26,EUR,Outbound,Settlement
2024-01-10 23:16:44.531236,TXN_947,Bank B,17412.78,EUR,Outbound,Liquidity Management
2024-08-10 23:16:44.531236,TXN_793,Bank A,46761.57,EUR,Inbound,Liquidity Management
2024-08-29 23:16:44.531236,TXN_62,Bank B,47732.45,GBP,Outbound,Settlement
2024-08-27 23:16:44.531236,TXN_586,Bank C,48549.43,USD,Outbound,Liquidity Management
2024-08-15 23:16:44.531236,TXN_822,Bank B,21581.31,USD,Inbound,Settlement
2024-02-01 23:16:44.531236,TXN_294,Bank A,34376.29,USD,Outbound,Liquidity Management
2024-03-14 23:16:44.531236,TXN_58,Bank A,43801.29,USD,Inbound,Liquidity Management
2024-08-10 23:16:44.531236,TXN_586,Bank B,19398.82,USD,Outbound,Settlement
2024-06-22 23:16:44.531236,TXN_683,Bank A,13644.37,EUR,Outbound,Settlement
2024-08-22 23:16:44.531236,TXN_158,Bank B,35160.64,EUR,Outbound,Liquidity Management
2024-02-16 23:16:44.531236,TXN_390,Bank B,43291.49,EUR,Inbound,Liquidity Management
2024-03-17 23:16:44.531236,TXN_524,Bank B,10526.76,GBP,Outbound,Liquidity Management
2024-03-10 23:16:44.531236,TXN_824,Bank B,46226.85,USD,Outbound,Settlement
2024-07-22 23:16:44.531236,TXN_172,Bank A,30986.94,GBP,Outbound,Liquidity Management
2024-05-11 23:16:44.531236,TXN_822,Bank B,17543.83,EUR,Inbound,Liquidity Management
2024-06-19 23:16:44.531236,TXN_509,Bank A,30685.29,GBP,Inbound,Settlement
2024-05-01 23:16:44.531236,TXN_967,Bank C,19346.34,GBP,Inbound,Liquidity Management
2024-03-03 23:16:44.531236,TXN_971,Bank A,43122.34,USD,Inbound,Liquidity Management
2024-03-03 23:16:44.532238,TXN_439,Bank A,31688.42,USD,Outbound,Settlement
2024-07-09 23:16:44.532238,TXN_436,Bank C,11424.07,EUR,Outbound,Liquidity Management
2024-09-06 23:16:44.532238,TXN_774,Bank A,19429.57,EUR,Inbound,Liquidity Management
2024-09-03 23:16:44.532238,TXN_425,Bank C,20775.36,EUR,Inbound,Settlement
2024-08-06 23:16:44.532238,TXN_367,Bank A,43451.25,EUR,Outbound,Liquidity Management
2024-06-11 23:16:44.532238,TXN_885,Bank B,31547.13,GBP,Inbound,Liquidity Management
2024-06-16 23:16:44.532238,TXN_976,Bank A,26273.55,EUR,Inbound,Settlement
2024-07-04 23:16:44.532238,TXN_141,Bank B,17171.52,EUR,Inbound,Settlement
2024-02-27 23:16:44.532238,TXN_853,Bank C,21924.72,USD,Outbound,Liquidity Management
2023-12-22 23:16:44.532238,TXN_103,Bank B,22095.76,EUR,Inbound,Settlement
2023-12-15 23:16:44.532238,TXN_670,Bank A,31881.44,EUR,Inbound,Liquidity Management
2023-10-27 23:16:44.532238,TXN_31,Bank C,36006.35,USD,Outbound,Settlement
2024-05-06 23:16:44.532238,TXN_237,Bank B,35390.03,GBP,Outbound,Liquidity Management
2023-11-02 23:16:44.532238,TXN_237,Bank C,41594.89,GBP,Outbound,Settlement
2024-01-12 23:16:44.532238,TXN_669,Bank C,28506.97,USD,Inbound,Settlement
2024-05-07 23:16:44.532238,TXN_619,Bank B,44839.59,USD,Inbound,Liquidity Management
2024-05-23 23:16:44.532238,TXN_940,Bank C,28823.44,GBP,Inbound,Settlement
2024-04-30 23:16:44.532238,TXN_380,Bank A,17494.6,EUR,Outbound,Liquidity Management
2023-12-12 23:16:44.532238,TXN_757,Bank C,48527.84,GBP,Inbound,Liquidity Management
2024-03-24 23:16:44.532238,TXN_304,Bank C,12068.48,USD,Inbound,Settlement
2024-08-15 23:16:44.532238,TXN_731,Bank B,37795.05,GBP,Outbound,Liquidity Management
2023-11-30 23:16:44.532238,TXN_167,Bank C,35686.13,EUR,Outbound,Liquidity Management
2024-07-15 23:16:44.532238,TXN_741,Bank A,22394.46,USD,Outbound,Settlement
2024-05-31 23:16:44.532238,TXN_65,Bank A,13687.44,GBP,Inbound,Liquidity Management
2023-11-25 23:16:44.532238,TXN_851,Bank A,37614.73,EUR,Inbound,Settlement
2024-02-02 23:16:44.532238,TXN_28,Bank B,28907.51,EUR,Outbound,Liquidity Management
2024-01-27 23:16:44.532238,TXN_878,Bank A,37340.55,GBP,Outbound,Liquidity Management
2024-05-27 23:16:44.532238,TXN_420,Bank C,24392.44,EUR,Outbound,Liquidity Management
2024-10-02 23:16:44.532238,TXN_967,Bank B,19582.32,EUR,Outbound,Liquidity Management
2023-12-02 23:16:44.532238,TXN_90,Bank C,10487.56,USD,Inbound,Liquidity Management
2023-10-17 23:16:44.532238,TXN_152,Bank C,39962.18,USD,Inbound,Liquidity Management
2024-09-13 23:16:44.532238,TXN_789,Bank B,39917.32,EUR,Inbound,Settlement
2024-02-15 23:16:44.532238,TXN_985,Bank B,11868.63,GBP,Outbound,Settlement
2024-06-22 23:16:44.532238,TXN_632,Bank B,19986.87,USD,Outbound,Settlement
2023-11-25 23:16:44.532238,TXN_350,Bank A,48587.05,USD,Outbound,Settlement
2024-05-16 23:16:44.532238,TXN_417,Bank A,41397.02,GBP,Inbound,Liquidity Management
2024-02-01 23:16:44.532238,TXN_3,Bank B,34583.89,EUR,Inbound,Liquidity Management
2023-10-16 23:16:44.532238,TXN_141,Bank B,17755.51,GBP,Outbound,Liquidity Management
2024-08-21 23:16:44.532238,TXN_805,Bank B,18670.24,USD,Inbound,Settlement
2024-03-24 23:16:44.532238,TXN_627,Bank A,14291.59,EUR,Inbound,Settlement
2024-09-27 23:16:44.532238,TXN_212,Bank A,13275.46,USD,Outbound,Liquidity Management
2023-12-07 23:16:44.532238,TXN_73,Bank A,43636.76,GBP,Inbound,Liquidity Management
2023-10-30 23:16:44.532238,TXN_328,Bank A,19284.82,GBP,Outbound,Liquidity Management
2024-01-03 23:16:44.532238,TXN_919,Bank A,30764.94,EUR,Inbound,Settlement
2024-07-19 23:16:44.532238,TXN_738,Bank C,35062.03,USD,Outbound,Liquidity Management
2024-01-24 23:16:44.532238,TXN_865,Bank C,22960.17,GBP,Inbound,Settlement
